budget,size,seed,obj,acc,time,loss_bound,projects
100,0.01,0,2101.3349999999937,3117,62.20405626296997,10.5,"[12, 60]"
100,0.01,12,2375.6999999999916,3515,36.533512353897095,10.5,"[22, 60]"
100,0.01,23,2720.5050000000047,3702,56.61574912071228,10.5,"[13, 60]"
100,0.01,34,2326.270999999997,3523,53.65251350402832,10.5,"[21, 22]"
100,0.01,45,2375.6999999999916,3515,65.37846636772156,10.5,"[22, 60]"
100,0.01,56,2720.5050000000047,3702,71.2429530620575,10.5,"[13, 60]"
100,0.01,67,2326.270999999997,3523,49.847018241882324,10.5,"[21, 22]"
100,0.01,78,1794.8280000000013,2762,53.33200669288635,10.5,"[35, 60]"
100,0.01,89,2720.5050000000047,3702,61.21820950508118,10.5,"[13, 60]"
100,0.01,90,2457.8310000000038,3617,54.58685564994812,10.5,"[15, 16]"
100,0.02,0,2720.5050000000047,3702,106.10428786277771,21.0,"[13, 60]"
100,0.02,12,2375.6999999999916,3515,97.24538588523865,21.0,"[22, 60]"
100,0.02,23,2720.5050000000047,3702,116.23683571815491,21.0,"[13, 60]"
100,0.02,34,2326.270999999997,3523,105.70127367973328,21.0,"[21, 22]"
100,0.02,45,2720.5050000000047,3702,127.46303224563599,21.0,"[13, 60]"
100,0.02,56,2720.5050000000047,3702,140.61460494995117,21.0,"[13, 60]"
100,0.02,67,2287.9689999999882,3415,98.38630771636963,21.0,"[60, 67]"
100,0.02,78,2457.8310000000038,3617,118.02429628372192,21.0,"[15, 16]"
100,0.02,89,2111.868999999997,3158,105.56198215484619,21.0,"[60, 68]"
100,0.02,90,2457.8310000000038,3617,102.66733288764954,21.0,"[15, 16]"
100,0.03,0,2720.5050000000047,3702,165.48354291915894,31.5,"[13, 60]"
100,0.03,12,2457.8310000000038,3617,153.9388246536255,31.5,"[15, 16]"
100,0.03,23,2720.5050000000047,3702,167.54314517974854,31.5,"[13, 60]"
100,0.03,34,2101.3349999999937,3117,160.9089822769165,31.5,"[12, 60]"
100,0.03,45,2720.5050000000047,3702,160.6530225276947,31.5,"[13, 60]"
100,0.03,56,2720.5050000000047,3702,150.0432267189026,31.5,"[13, 60]"
100,0.03,67,2720.5050000000047,3702,153.93533611297607,31.5,"[13, 60]"
100,0.03,78,2457.8310000000038,3617,167.99033570289612,31.5,"[15, 16]"
100,0.03,89,2720.5050000000047,3702,168.5346257686615,31.5,"[13, 60]"
100,0.03,90,2457.8310000000038,3617,142.08146572113037,31.5,"[15, 16]"
100,0.04,0,2720.5050000000047,3702,243.3029384613037,42.3,"[13, 60]"
100,0.04,12,2287.9689999999882,3415,216.8034906387329,42.3,"[60, 67]"
100,0.04,23,2720.5050000000047,3702,197.557701587677,42.3,"[13, 60]"
100,0.04,34,2720.5050000000047,3702,251.82173037528992,42.3,"[13, 60]"
100,0.04,45,2287.9689999999882,3415,203.69954419136047,42.3,"[60, 67]"
100,0.04,56,2720.5050000000047,3702,243.62622332572937,42.3,"[13, 60]"
100,0.04,67,2720.5050000000047,3702,221.9320194721222,42.3,"[13, 60]"
100,0.04,78,2457.8310000000038,3617,219.24429035186768,42.3,"[15, 16]"
100,0.04,89,2720.5050000000047,3702,264.1049575805664,42.3,"[13, 60]"
100,0.04,90,2326.270999999997,3523,222.75169682502747,42.3,"[21, 22]"
100,0.05,0,2720.5050000000047,3702,345.83051109313965,52.8,"[13, 60]"
100,0.05,12,2720.5050000000047,3702,269.22573947906494,52.8,"[13, 60]"
100,0.05,23,2720.5050000000047,3702,280.2578036785126,52.8,"[13, 60]"
100,0.05,34,2720.5050000000047,3702,266.15407824516296,52.8,"[13, 60]"
100,0.05,45,2720.5050000000047,3702,258.6228892803192,52.8,"[13, 60]"
100,0.05,56,2720.5050000000047,3702,294.51147961616516,52.8,"[13, 60]"
100,0.05,67,2720.5050000000047,3702,285.2905101776123,52.8,"[13, 60]"
100,0.05,78,2375.6999999999916,3515,313.31592893600464,52.8,"[22, 60]"
100,0.05,89,2720.5050000000047,3702,323.39091873168945,52.8,"[13, 60]"
100,0.05,90,2326.270999999997,3523,260.10142374038696,52.8,"[21, 22]"
300,0.01,0,5849.537000000029,7445,151.3674657344818,10.5,"[12, 13, 21, 26, 27, 60]"
300,0.01,12,4352.975000000011,5642,146.9516532421112,10.5,"[12, 22, 50, 51, 60, 82]"
300,0.01,23,5102.411999999973,6546,159.76321578025818,10.5,"[15, 20, 26, 32, 60, 80]"
300,0.01,34,5485.978999999985,6950,176.79536175727844,10.5,"[15, 16, 21, 66, 67, 68]"
300,0.01,45,5291.873999999996,6609,176.56440377235413,10.5,"[15, 21, 22, 66, 68, 75]"
300,0.01,56,4540.7850000000035,6070,153.68981885910034,10.5,"[7, 16, 51, 60, 66, 67, 79]"
300,0.01,67,5189.663999999993,6853,159.6177225112915,10.5,"[12, 21, 22, 27, 66, 80]"
300,0.01,78,5369.381000000003,6732,186.045019865036,10.5,"[15, 21, 22, 35, 66, 68]"
300,0.01,89,6052.777000000013,7959,184.30207180976868,10.5,"[15, 16, 21, 26, 27, 32]"
300,0.01,90,6142.412000000033,7782,187.9567370414734,10.5,"[13, 21, 22, 27, 66, 68]"
300,0.02,0,6080.747999999994,7570,574.4491062164307,21.0,"[15, 21, 22, 66, 68, 73]"
300,0.02,12,5489.316000000012,7086,356.4813323020935,21.0,"[21, 22, 53, 66, 68, 79]"
300,0.02,23,5789.972000000025,7212,377.84013986587524,21.0,"[12, 13, 21, 22, 61, 66]"
300,0.02,34,5243.204999999991,6842,338.57501769065857,21.0,"[12, 21, 22, 27, 66, 75]"
300,0.02,45,5757.80699999999,7407,289.86400961875916,21.0,"[15, 16, 20, 26, 27, 32]"
300,0.02,56,5465.541000000016,7024,364.6988613605499,21.0,"[21, 22, 45, 51, 66, 68]"
300,0.02,67,6127.2570000000305,7640,192.07196688652039,21.0,"[12, 13, 21, 22, 66, 68]"
300,0.02,78,4881.038000000004,6414,263.25071263313293,21.0,"[6, 12, 15, 26, 27, 53]"
300,0.02,89,5604.44600000002,7093,183.62467885017395,21.0,"[15, 16, 21, 22, 27, 66]"
300,0.02,90,6158.131000000023,7840,388.48632287979126,21.0,"[13, 21, 22, 66, 68, 73]"
300,0.03,0,6053.054000000024,7431,466.3522343635559,31.5,"[13, 15, 21, 22, 66, 68]"
300,0.03,12,5645.399000000003,7138,1716.5562162399292,31.5,"[15, 16, 21, 22, 66, 73]"
300,0.03,23,5789.972000000025,7212,448.98070430755615,31.5,"[12, 13, 21, 22, 61, 66]"
300,0.03,34,5243.204999999991,6842,382.33508586883545,31.5,"[12, 21, 22, 27, 66, 75]"
300,0.03,45,5670.093000000001,7225,510.9139907360077,31.5,"[15, 21, 53, 66, 73, 75]"
300,0.03,56,6127.2570000000305,7640,476.6930010318756,31.5,"[12, 13, 21, 22, 66, 68]"
300,0.03,67,6094.034000000023,7602,485.5852921009064,31.5,"[13, 21, 22, 45, 66, 68]"
300,0.03,78,5415.93899999998,6968,1033.993619441986,31.5,"[15, 16, 20, 26, 32, 80]"
300,0.03,89,5990.382000000038,7479,486.5575590133667,31.5,"[13, 15, 21, 27, 53, 66]"
300,0.03,90,5779.443999999994,7635,598.008159160614,31.5,"[21, 22, 66, 68, 73, 80]"
300,0.04,0,6053.054000000024,7431,1103.6500017642975,42.3,"[13, 15, 21, 22, 66, 68]"
300,0.04,12,5661.246999999994,7199,1562.816349029541,42.3,"[12, 13, 26, 27, 32, 60]"
300,0.04,23,5855.001000000022,7380,1115.0010571479797,42.3,"[13, 21, 22, 27, 61, 66]"
300,0.04,34,5641.523000000014,7351,570.8903441429138,42.3,"[13, 21, 22, 26, 27, 75]"
300,0.04,45,6184.258000000003,7964,830.0428829193115,42.3,"[13, 21, 26, 27, 32, 60]"
300,0.04,56,6094.034000000023,7602,1220.7384915351868,42.3,"[13, 21, 22, 45, 66, 68]"
300,0.04,67,6094.034000000023,7602,565.1131162643433,42.3,"[13, 21, 22, 45, 66, 68]"
300,0.04,78,5270.278999999982,6866,1200.7701652050018,42.3,"[20, 26, 27, 32, 53, 60]"
300,0.04,89,6099.00000000004,7665,635.4875688552856,42.3,"[13, 15, 16, 21, 27, 66]"
300,0.04,90,5864.528999999982,7729,1149.754667043686,42.3,"[21, 22, 32, 66, 68, 73]"
300,0.05,0,6053.054000000024,7431,3909.0151233673096,52.8,"[13, 15, 21, 22, 66, 68]"
300,0.05,12,6184.258000000003,7964,1525.0320932865143,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,23,6158.131000000023,7840,1635.5113883018494,52.8,"[13, 21, 22, 66, 68, 73]"
300,0.05,34,6184.258000000003,7964,1252.3512887954712,52.8,"[13, 21, 26, 27, 32, 60]"
300,0.05,45,5974.738000000005,7816,1686.6194133758545,52.8,"[15, 21, 26, 27, 32, 53]"
300,0.05,56,6094.034000000023,7602,2711.2786161899567,52.8,"[13, 21, 22, 45, 66, 68]"
300,0.05,67,6094.034000000023,7602,960.738361120224,52.8,"[13, 21, 22, 45, 66, 68]"
300,0.05,78,5843.846,7632,1434.4950399398804,52.8,"[21, 22, 26, 32, 66, 68]"
300,0.05,89,6099.00000000004,7665,1311.042988061905,52.8,"[13, 15, 16, 21, 27, 66]"
300,0.05,90,5864.528999999982,7729,1123.4918258190155,52.8,"[21, 22, 32, 66, 68, 73]"
500,0.01,0,9413.961000000018,11359,287.7585940361023,10.5,"[12, 13, 15, 21, 26, 27, 32, 66, 67, 68]"
500,0.01,12,5963.6490000000085,7633,281.2942442893982,10.5,"[16, 22, 28, 34, 35, 50, 51, 57, 60, 66, 80]"
500,0.01,23,8094.1610000000055,9881,178.3061842918396,10.5,"[15, 21, 22, 30, 32, 66, 68, 72, 73, 75]"
500,0.01,34,8527.00699999999,10507,174.2265064716339,10.5,"[6, 12, 15, 16, 21, 26, 66, 67, 68, 79, 80]"
500,0.01,45,9084.482000000038,10958,223.99292826652527,10.5,"[13, 15, 16, 21, 24, 26, 27, 32, 66, 75]"
500,0.01,56,6877.308000000017,8830,271.0847568511963,10.5,"[7, 16, 21, 22, 26, 32, 35, 51, 61, 66, 82]"
500,0.01,67,8703.158000000021,10793,304.05498719215393,10.5,"[12, 13, 21, 22, 25, 27, 45, 66, 68, 80]"
500,0.01,78,7545.468000000044,9475,178.20874786376953,10.5,"[15, 21, 24, 27, 30, 35, 53, 66, 75, 80]"
500,0.01,89,8948.09600000004,10880,310.52271151542664,10.5,"[12, 13, 15, 16, 21, 22, 24, 26, 27, 32]"
500,0.01,90,8636.939000000015,10646,468.7879738807678,10.5,"[15, 16, 21, 26, 32, 50, 57, 66, 73, 75]"
500,0.02,0,9932.903000000031,11916,645.4998848438263,21.0,"[12, 13, 15, 21, 22, 26, 27, 32, 66, 68]"
500,0.02,12,9328.315000000022,11409,2166.114356994629,21.0,"[13, 21, 22, 26, 27, 32, 45, 50, 66, 75]"
500,0.02,23,8427.509000000016,10301,1562.98916888237,21.0,"[13, 21, 22, 27, 45, 50, 61, 66, 78, 79]"
500,0.02,34,8295.550000000034,10266,532.305695772171,21.0,"[13, 16, 21, 22, 28, 50, 53, 66, 75, 79, 80]"
500,0.02,45,9084.482000000038,10958,571.7198379039764,21.0,"[13, 15, 16, 21, 24, 26, 27, 32, 66, 75]"
500,0.02,56,7930.660000000025,9786,396.284051656723,21.0,"[6, 21, 22, 27, 45, 51, 61, 66, 75, 79, 80]"
500,0.02,67,8986.681000000022,10981,877.3401687145233,21.0,"[12, 13, 21, 22, 27, 45, 66, 68, 79, 80]"
500,0.02,78,9038.079000000016,11096,1730.8551075458527,21.0,"[6, 12, 15, 16, 21, 27, 30, 66, 75, 79, 80]"
500,0.02,89,9532.20200000003,11460,640.3858454227448,21.0,"[6, 13, 15, 16, 21, 22, 26, 27, 32, 50, 66]"
500,0.02,90,8636.939000000015,10646,2575.872133255005,21.0,"[15, 16, 21, 26, 32, 50, 57, 66, 73, 75]"
500,0.03,0,9246.397000000026,11152,1633.9383068084717,31.5,"[12, 15, 21, 22, 26, 32, 45, 50, 66, 68]"
500,0.03,12,9272.939000000028,11327,3432.868190050125,31.5,"[12, 13, 21, 22, 26, 27, 32, 45, 66, 75]"
500,0.03,23,8658.21200000001,10475,3858.4050471782684,31.5,"[13, 15, 21, 22, 45, 50, 61, 66, 73, 79]"
500,0.03,34,9239.843000000037,11337,1047.910840511322,31.5,"[12, 13, 15, 21, 22, 26, 27, 32, 53, 75]"
500,0.03,45,9673.514000000023,11555,1592.1338548660278,31.5,"[13, 15, 21, 22, 26, 27, 32, 45, 66, 68]"
500,0.03,56,9506.336000000018,11467,2608.2698323726654,31.5,"[13, 15, 16, 21, 22, 27, 50, 66, 75, 79, 80]"
500,0.03,67,9015.591000000011,10937,1896.8470995426178,31.5,"[13, 16, 21, 22, 27, 45, 50, 61, 66, 79, 80]"
500,0.03,78,9424.367000000015,11435,1061.443538427353,31.5,"[13, 15, 16, 21, 27, 50, 60, 66, 75, 79, 80]"
500,0.03,89,9817.63900000003,11881,2746.61896944046,31.5,"[13, 15, 16, 21, 26, 27, 28, 32, 50, 66, 75]"
500,0.03,90,9327.982000000029,11420,5569.754144668579,31.5,"[12, 13, 21, 22, 26, 32, 45, 66, 68, 80]"
500,0.04,0,9246.397000000026,11152,12560.415650606155,42.3,"[12, 15, 21, 22, 26, 32, 45, 50, 66, 68]"
500,0.04,12,8854.553000000029,11084,3223.8970096111298,42.3,"[12, 13, 21, 22, 26, 27, 30, 32, 45, 75]"
500,0.04,23,9673.514000000023,11555,7837.26348900795,42.3,"[13, 15, 21, 22, 26, 27, 32, 45, 66, 68]"
500,0.04,34,9295.959000000024,11377,1989.8449370861053,42.3,"[13, 15, 21, 26, 27, 32, 50, 51, 53, 75]"
500,0.04,45,9408.382000000025,11272,2748.7415385246277,42.3,"[7, 15, 16, 21, 22, 26, 27, 32, 51, 66, 68]"
500,0.04,56,9506.336000000018,11467,2359.6460225582123,42.3,"[13, 15, 16, 21, 22, 27, 50, 66, 75, 79, 80]"
500,0.04,67,9144.65400000002,11298,2343.81791973114,42.3,"[6, 13, 16, 21, 22, 27, 45, 66, 68, 79, 80]"
500,0.04,78,8955.588000000018,10862,1780.1145250797272,42.3,"[6, 12, 15, 16, 21, 22, 26, 32, 66, 68]"
500,0.04,89,9817.63900000003,11881,1249.741589307785,42.3,"[13, 15, 16, 21, 26, 27, 28, 32, 50, 66, 75]"
500,0.04,90,9673.514000000023,11555,4433.297057390213,42.3,"[13, 15, 21, 22, 26, 27, 32, 45, 66, 68]"
500,0.05,0,9246.397000000026,11152,7223.572967767715,52.8,"[12, 15, 21, 22, 26, 32, 45, 50, 66, 68]"
500,0.05,12,9798.784000000032,11845,3089.9815862178802,52.8,"[12, 13, 15, 16, 21, 26, 27, 32, 66, 75]"
500,0.05,23,9673.514000000023,11555,3377.9841611385345,52.8,"[13, 15, 21, 22, 26, 27, 32, 45, 66, 68]"
500,0.05,34,9738.458000000024,11763,10153.434168338776,52.8,"[13, 15, 16, 21, 26, 27, 50, 66, 75, 79, 80]"
500,0.05,45,9408.382000000025,11272,17170.942026376724,52.8,"[7, 15, 16, 21, 22, 26, 27, 32, 51, 66, 68]"
500,0.05,56,8942.405000000017,11014,8842.18708229065,52.8,"[13, 21, 22, 32, 45, 50, 66, 72, 73, 75]"
500,0.05,67,9743.20400000002,11916,7911.638615846634,52.8,"[13, 21, 22, 26, 27, 32, 45, 50, 66, 68]"
500,0.05,78,9753.404000000013,11826,5664.228522062302,52.8,"[13, 15, 16, 21, 22, 27, 50, 66, 68, 79, 80]"
500,0.05,89,9817.63900000003,11881,733.8392608165741,52.8,"[13, 15, 16, 21, 26, 27, 28, 32, 50, 66, 75]"
500,0.05,90,9658.288000000008,11868,16412.12316799164,52.8,"[13, 15, 16, 21, 22, 26, 27, 50, 68, 79, 80]"
